Category,SubCategory,Property,Amount,Year,Month
Bills,Homeowner's Dues,Primary,42.58,2015,October
Bills,Mortgage Payment,Investment,1740.87,2015,October
Bills,Mortgage Payment,Primary,1436.12,2015,October
Bills,Natural Gas/Oil,Primary,78,2015,October
Bills,Natural Gas/Oil,Investment,77.28,2015,October
Bills,Online/Internet Service,Primary,53.05,2015,October
Bills,Telephone,Primary,34.05,2015,October
Bills,Water & Sewer,Primary,248.63,2015,October
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,3,2015,October
Dining Out,Dining Out,Primary,162.06,2015,October
Entertainment,Entertainment,Primary,14.45,2015,October
Groceries,Groceries,Primary,826.58,2015,October
Healthcare,Physician,Primary,110,2015,October
Healthcare,Prescriptions,Primary,41.95,2015,October
Home Improvement,Home Improvement,Investment,40.53,2015,October
Household,Household - Unassigned,Primary,49.99,2015,October
Insurance,Automobile,Primary,292.91,2015,October
Insurance,Homeowner's/Renter's,Primary,78.11,2015,October
Insurance,Homeowner's/Renter's,Investment,36.99,2015,October
Job Expense,Non-Reimbursed,Primary,400,2015,October
Pet Care,Food,Primary,66.21,2015,October
Taxes,Taxes - Unassigned,Primary,0.52,2015,October
Travel/Vacation,Miscellaneous,Primary,280.82,2015,October
Automobile,Car Payment,Primary,249.96,2015,November
Automobile,Gasoline,Primary,177.58,2015,November
Bank Charges,Service Charge,Primary,18.94,2015,November
Bills,Cell Phone,Primary,39.55,2015,November
Bills,Electricity,Primary,120.28,2015,November
Bills,Electricity,Investment,0.63,2015,November
Bills,Homeowner's Dues,Primary,42.58,2015,November
Bills,Mortgage Payment,Primary,1436.12,2015,November
Bills,Mortgage Payment,Investment,1573.53,2015,November
Bills,Natural Gas/Oil,Primary,77,2015,November
Bills,Natural Gas/Oil,Investment,78,2015,November
Bills,Online/Internet Service,Primary,81.16,2015,November
Bills,Telephone,Primary,34.05,2015,November
Clothing,Clothing,Primary,98.31,2015,November
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,200,2015,November
Dining Out,Dining Out,Primary,99.67,2015,November
Entertainment,Entertainment,Primary,34.9,2015,November
Groceries,Groceries,Primary,672.63,2015,November
Healthcare,Physician,Primary,155,2015,November
Healthcare,Prescriptions,Primary,5.73,2015,November
Household,Yard Service,Primary,68.15,2015,November
Insurance,Automobile,Primary,292.91,2015,November
Insurance,Homeowner's/Renter's,Primary,78.11,2015,November
Insurance,Homeowner's/Renter's,Investment,36.99,2015,November
Insurance,Life,Primary,132.78,2015,November
Job Expense,Non-Reimbursed,Primary,400,2015,November
Pet Care,Food,Primary,124.18,2015,November
Taxes,Taxes - Unassigned,Primary,0.52,2015,November
Travel/Vacation,Miscellaneous,Primary,108.59,2015,November
Travel/Vacation,Travel,Primary,2201.58,2015,November
Automobile,Car Payment,Primary,249.96,2015,December
Automobile,Gasoline,Primary,58.05,2015,December
Bank Charges,Service Charge,Primary,20.44,2015,December
Bills,Cell Phone,Primary,39.55,2015,December
Bills,Cellular,Primary,67.79,2015,December
Bills,Electricity,Primary,103.95,2015,December
Bills,Homeowner's Dues,Primary,226.39,2015,December
Bills,Mortgage Payment,Primary,1436.12,2015,December
Bills,Mortgage Payment,Investment,1573.53,2015,December
Bills,Natural Gas/Oil,Primary,77,2015,December
Bills,Telephone,Primary,34.05,2015,December
Childcare,Childcare,Primary,67.68,2015,December
Children/Toys,Children/Toys - Unassigned,Primary,128.78,2015,December
Clothing,Clothing,Primary,198.07,2015,December
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,-200,2015,December
Dining Out,Dining Out,Primary,96.7,2015,December
Entertainment,Entertainment,Primary,46.9,2015,December
Gifts,Gifts,Primary,158.2,2015,December
Groceries,Groceries,Primary,626.04,2015,December
Healthcare,Physician,Primary,20,2015,December
Healthcare,Prescriptions,Primary,128.8,2015,December
Household,Household - Unassigned,Primary,1204.88,2015,December
Insurance,Automobile,Primary,292.91,2015,December
Insurance,Homeowner's/Renter's,Primary,78.11,2015,December
Insurance,Homeowner's/Renter's,Investment,36.99,2015,December
Insurance,Life,Primary,132.78,2015,December
Job Expense,Non-Reimbursed,Primary,400,2015,December
Pet Care,Food,Primary,50.2,2015,December
Services/Memberships,Services/Memberships,Primary,57,2015,December
Taxes,Taxes - Unassigned,Primary,0.52,2015,December
Travel/Vacation,Lodging,Primary,882.36,2015,December
Travel/Vacation,Miscellaneous,Primary,127.62,2015,December
Travel/Vacation,Travel,Primary,-681.2,2015,December
Travel/Vacation,Travel/Vacation - Unassigned,Primary,100,2015,December
Automobile,Car Payment,Primary,249.96,2016,January
Automobile,Gasoline,Primary,152.08,2016,January
Bank Charges,Service Charge,Primary,99.54,2016,January
Bills,Cell Phone,Primary,193.14,2016,January
Bills,Electricity,Primary,107.1,2016,January
Bills,Homeowner's Dues,Primary,42.58,2016,January
Bills,Membership Fees,Primary,163.85,2016,January
Bills,Mortgage Payment,Primary,2154.18,2016,January
Bills,Mortgage Payment,Investment,1573.53,2016,January
Bills,Natural Gas/Oil,Primary,77,2016,January
Bills,Natural Gas/Oil,Investment,160,2016,January
Bills,Online/Internet Service,Primary,136.94,2016,January
Bills,Telephone,Primary,34.05,2016,January
Bills,Water & Sewer,Primary,250.36,2016,January
Clothing,Clothing,Primary,45.19,2016,January
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2016,January
Dining Out,Dining Out,Primary,36.65,2016,January
Groceries,Groceries,Primary,837.6,2016,January
Healthcare,Physician,Primary,80,2016,January
Healthcare,Prescriptions,Primary,6.31,2016,January
Household,Household - Unassigned,Primary,-514.14,2016,January
Insurance,Automobile,Primary,292.91,2016,January
Insurance,Homeowner's/Renter's,Investment,36.99,2016,January
Insurance,Insurance - Unassigned,Primary,-3.54,2016,January
Insurance,Life,Primary,132.78,2016,January
Investment,Investment,Primary,2254,2016,January
Job Expense,Non-Reimbursed,Primary,400,2016,January
Pet Care,Food,Primary,144.71,2016,January
Taxes,Taxes - Unassigned,Primary,0.52,2016,January
Travel/Vacation,Miscellaneous,Primary,102.99,2016,January
Travel/Vacation,Travel/Vacation - Unassigned,Primary,25,2016,January
Automobile,Car Payment,Primary,249.96,2016,February
Automobile,Gasoline,Primary,65.09,2016,February
Automobile,Maintenance,Primary,307.55,2016,February
Bank Charges,Service Charge,Primary,23.44,2016,February
Bills,Cell Phone,Primary,114.75,2016,February
Bills,Electricity,Primary,137.76,2016,February
Bills,Homeowner's Dues,Primary,42.58,2016,February
Bills,Homeowner's Dues,Investment,45.18,2016,February
Bills,Mortgage Payment,Primary,1436.12,2016,February
Bills,Mortgage Payment,Investment,1573.53,2016,February
Bills,Natural Gas/Oil,Primary,77,2016,February
Bills,Online/Internet Service,Primary,67.79,2016,February
Bills,Telephone,Primary,34.05,2016,February
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,99,2016,February
Dining Out,Dining Out,Primary,127.39,2016,February
Entertainment,Entertainment,Primary,76,2016,February
Groceries,Groceries,Primary,343.32,2016,February
Healthcare,Physician,Primary,65,2016,February
Healthcare,Prescriptions,Primary,11.29,2016,February
Household,Furnishings,Primary,1797.08,2016,February
Insurance,Automobile,Primary,292.91,2016,February
Insurance,Homeowner's/Renter's,Primary,78.11,2016,February
Insurance,Homeowner's/Renter's,Investment,36.99,2016,February
Insurance,Life,Primary,132.78,2016,February
Job Expense,Non-Reimbursed,Primary,300,2016,February
Pet Care,Food,Primary,23.34,2016,February
Taxes,Real Estate Taxes,Primary,1298,2016,February
Taxes,Real Estate Taxes,Investment,606,2016,February
Taxes,Taxes - Unassigned,Primary,0.52,2016,February
Travel/Vacation,Lodging,Primary,1496.1,2016,February
Travel/Vacation,Miscellaneous,Primary,56.48,2016,February
Travel/Vacation,Rental,Primary,411.43,2016,February
Automobile,Car Payment,Primary,249.96,2016,March
Automobile,Gasoline,Primary,68.36,2016,March
Bank Charges,Service Charge,Primary,17.94,2016,March
Bills,Cell Phone,Primary,66.78,2016,March
Bills,Electricity,Primary,103.11,2016,March
Bills,Homeowner's Dues,Primary,42.58,2016,March
Bills,Homeowner's Dues,Investment,136.99,2016,March
Bills,Mortgage Payment,Primary,1436.12,2016,March
Bills,Mortgage Payment,Investment,1573.53,2016,March
Bills,Natural Gas/Oil,Primary,77,2016,March
Bills,Natural Gas/Oil,Investment,154.3,2016,March
Bills,Online/Internet Service,Primary,67.79,2016,March
Bills,Telephone,Primary,34.05,2016,March
Childcare,Childcare,Primary,177.32,2016,March
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,-100,2016,March
Dining Out,Dining Out,Primary,91.31,2016,March
Groceries,Groceries,Primary,567.77,2016,March
Healthcare,Physician,Primary,105,2016,March
Healthcare,Prescriptions,Primary,11.33,2016,March
Hobbies/Leisure,Movies & Video Rentals,Primary,31,2016,March
Insurance,Automobile,Primary,305.37,2016,March
Insurance,Homeowner's/Renter's,Primary,156.22,2016,March
Insurance,Homeowner's/Renter's,Investment,36.99,2016,March
Insurance,Life,Primary,132.78,2016,March
Investment,Investment,Primary,160,2016,March
Job Expense,Non-Reimbursed,Primary,400,2016,March
Pet Care,Food,Primary,41.85,2016,March
Taxes,Real Estate Taxes,Primary,649,2016,March
Taxes,Taxes - Unassigned,Primary,0.52,2016,March
Travel/Vacation,Travel/Vacation - Unassigned,Primary,16.52,2016,March
Automobile,Car Payment,Primary,249.96,2016,April
Automobile,Gasoline,Primary,166.46,2016,April
Bank Charges,Service Charge,Primary,3.99,2016,April
Bills,Cell Phone,Primary,84.75,2016,April
Bills,Cellular,Primary,496.07,2016,April
Bills,Electricity,Primary,98.07,2016,April
Bills,Homeowner's Dues,Primary,42.58,2016,April
Bills,Mortgage Payment,Primary,1436.12,2016,April
Bills,Mortgage Payment,Investment,1573.53,2016,April
Bills,Natural Gas/Oil,Primary,50,2016,April
Bills,Natural Gas/Oil,Investment,34,2016,April
Bills,Online/Internet Service,Primary,67.79,2016,April
Bills,Telephone,Primary,34.05,2016,April
Bills,Water & Sewer,Primary,105.08,2016,April
Childcare,Childcare,Primary,7.33,2016,April
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2016,April
Dining Out,Dining Out,Primary,167.38,2016,April
Entertainment,Entertainment,Primary,90.33,2016,April
Groceries,Groceries,Primary,404.88,2016,April
Healthcare,Physician,Primary,45,2016,April
Healthcare,Prescriptions,Primary,17.6,2016,April
Hobbies/Leisure,Entertaining,Primary,90.11,2016,April
Home Improvement,Home Improvement,Investment,11.54,2016,April
Household,Household - Unassigned,Primary,31.31,2016,April
Insurance,Automobile,Primary,305.33,2016,April
Insurance,Homeowner's/Renter's,Investment,36.99,2016,April
Insurance,Life,Primary,132.78,2016,April
Investment,Investment,Primary,160,2016,April
Job Expense,Non-Reimbursed,Primary,458,2016,April
Pet Care,Food,Primary,27.9,2016,April
Taxes,Real Estate Taxes,Primary,649,2016,April
Taxes,Real Estate Taxes,Investment,605,2016,April
Taxes,Taxes - Unassigned,Primary,0.52,2016,April
Travel/Vacation,Miscellaneous,Primary,403.23,2016,April
Travel/Vacation,Travel/Vacation - Unassigned,Primary,122.35,2016,April
Automobile,Car Payment,Primary,249.96,2016,May
Automobile,Gasoline,Primary,143.51,2016,May
Automobile,Maintenance,Primary,128.82,2016,May
Bank Charges,Service Charge,Primary,3.99,2016,May
Bills,Cell Phone,Primary,84.75,2016,May
Bills,Electricity,Primary,113.66,2016,May
Bills,Homeowner's Dues,Primary,42.58,2016,May
Bills,Homeowner's Dues,Investment,45.52,2016,May
Bills,Membership Fees,Primary,283.91,2016,May
Bills,Mortgage Payment,Primary,1436.12,2016,May
Bills,Mortgage Payment,Investment,1573.53,2016,May
Bills,Natural Gas/Oil,Primary,50,2016,May
Bills,Natural Gas/Oil,Investment,34,2016,May
Bills,Online/Internet Service,Primary,67.79,2016,May
Bills,Telephone,Primary,34.05,2016,May
Childcare,Childcare,Primary,1,2016,May
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,1,2016,May
Dining Out,Dining Out,Primary,70.04,2016,May
Education,Tuition,Primary,1320,2016,May
Entertainment,Entertainment,Primary,200.73,2016,May
Groceries,Groceries,Primary,497.99,2016,May
Healthcare,Physician,Primary,-140,2016,May
Healthcare,Prescriptions,Primary,24.84,2016,May
Home Improvement,Home Improvement,Investment,37.53,2016,May
Household,Household - Unassigned,Primary,-20.15,2016,May
Insurance,Automobile,Primary,305.33,2016,May
Insurance,Homeowner's/Renter's,Primary,156.22,2016,May
Insurance,Homeowner's/Renter's,Investment,36.99,2016,May
Insurance,Life,Primary,132.78,2016,May
Investment,Investment,Primary,160,2016,May
Job Expense,Non-Reimbursed,Primary,329,2016,May
Pet Care,Food,Primary,11.5,2016,May
Taxes,Taxes - Unassigned,Primary,0.52,2016,May
Travel/Vacation,Miscellaneous,Primary,21.04,2016,May
Automobile,Car Payment,Primary,249.96,2016,June
Automobile,Gasoline,Primary,74.63,2016,June
Bank Charges,Service Charge,Primary,6.99,2016,June
Bills,Cell Phone,Primary,84.75,2016,June
Bills,Electricity,Primary,94.9,2016,June
Bills,Homeowner's Dues,Primary,42.58,2016,June
Bills,Homeowner's Dues,Investment,113.37,2016,June
Bills,Mortgage Payment,Primary,1436.12,2016,June
Bills,Mortgage Payment,Investment,1573.53,2016,June
Bills,Natural Gas/Oil,Primary,50,2016,June
Bills,Natural Gas/Oil,Investment,34,2016,June
Bills,Online/Internet Service,Primary,67.79,2016,June
Bills,Telephone,Primary,34.05,2016,June
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2016,June
Dining Out,Dining Out,Primary,153.2,2016,June
Entertainment,Entertainment,Primary,68.08,2016,June
Gifts,Gifts,Primary,28.22,2016,June
Groceries,Groceries,Primary,642.16,2016,June
Healthcare,Physician,Primary,155,2016,June
Healthcare,Prescriptions,Primary,81.3,2016,June
Hobbies/Leisure,Sporting Goods,Primary,256.83,2016,June
Home Improvement,Home Improvement,Investment,496.31,2016,June
Household,Yard Service,Primary,122.47,2016,June
Insurance,Automobile,Primary,305.33,2016,June
Insurance,Homeowner's/Renter's,Primary,78.11,2016,June
Insurance,Homeowner's/Renter's,Investment,36.99,2016,June
Insurance,Insurance - Unassigned,Primary,-3.63,2016,June
Insurance,Life,Primary,132.78,2016,June
Investment,Investment,Primary,240,2016,June
Job Expense,Non-Reimbursed,Primary,400,2016,June
Pet Care,Food,Primary,34.65,2016,June
Taxes,Taxes - Unassigned,Primary,0.52,2016,June
Travel/Vacation,Miscellaneous,Primary,41.7,2016,June
Automobile,Car Payment,Primary,249.96,2016,July
Automobile,Gasoline,Primary,243.73,2016,July
Bank Charges,Service Charge,Primary,5.49,2016,July
Bills,Cell Phone,Primary,84.75,2016,July
Bills,Electricity,Primary,156.32,2016,July
Bills,Homeowner's Dues,Primary,42.58,2016,July
Bills,Homeowner's Dues,Investment,22.59,2016,July
Bills,Mortgage Payment,Primary,2154.18,2016,July
Bills,Mortgage Payment,Investment,1573.53,2016,July
Bills,Natural Gas/Oil,Primary,44.8,2016,July
Bills,Natural Gas/Oil,Investment,16.21,2016,July
Bills,Online/Internet Service,Primary,67.79,2016,July
Bills,Telephone,Primary,34.05,2016,July
Bills,Water & Sewer,Primary,88.15,2016,July
Childcare,Childcare,Primary,109.12,2016,July
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2016,July
Dining Out,Dining Out,Primary,35.06,2016,July
Education,Education - Unassigned,Primary,12,2016,July
Entertainment,Entertainment,Primary,72.48,2016,July
Gifts,Gifts,Primary,-0.01,2016,July
Groceries,Groceries,Primary,666.54,2016,July
Healthcare,Physician,Primary,-105,2016,July
Healthcare,Prescriptions,Primary,16.85,2016,July
Hobbies/Leisure,Sporting Goods,Primary,204.42,2016,July
Home Improvement,Home Improvement,Investment,229.3,2016,July
Insurance,Automobile,Primary,305.33,2016,July
Insurance,Homeowner's/Renter's,Investment,41.51,2016,July
Insurance,Life,Primary,132.78,2016,July
Investment,Investment,Primary,160,2016,July
Job Expense,Non-Reimbursed,Primary,418.43,2016,July
Pet Care,Food,Primary,9.9,2016,July
Taxes,Taxes - Unassigned,Primary,0.52,2016,July
Travel/Vacation,Miscellaneous,Primary,41.03,2016,July
Travel/Vacation,Travel/Vacation - Unassigned,Primary,133.72,2016,July
Automobile,Car Payment,Primary,-750.04,2016,August
Automobile,Gasoline,Primary,120.45,2016,August
Bank Charges,Service Charge,Primary,3.99,2016,August
Bills,Cell Phone,Primary,84.75,2016,August
Bills,Electricity,Primary,243.58,2016,August
Bills,Homeowner's Dues,Primary,42.58,2016,August
Bills,Homeowner's Dues,Investment,22.59,2016,August
Bills,Mortgage Payment,Primary,1436.12,2016,August
Bills,Mortgage Payment,Investment,1573.53,2016,August
Bills,Natural Gas/Oil,Primary,38.58,2016,August
Bills,Natural Gas/Oil,Investment,34.28,2016,August
Bills,Online/Internet Service,Primary,67.79,2016,August
Bills,Telephone,Primary,34.05,2016,August
Childcare,Childcare,Primary,180.7,2016,August
Clothing,Clothing,Primary,96.6,2016,August
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,-1,2016,August
Dining Out,Dining Out,Primary,89.07,2016,August
Entertainment,Entertainment,Primary,62.84,2016,August
Groceries,Groceries,Primary,638.22,2016,August
Healthcare,Physician,Primary,-540,2016,August
Healthcare,Prescriptions,Primary,2.81,2016,August
Home Improvement,Home Improvement,Investment,22.76,2016,August
Household,Household - Unassigned,Primary,0,2016,August
Household,Yard Service,Primary,62.4,2016,August
Insurance,Automobile,Primary,305.33,2016,August
Insurance,Homeowner's/Renter's,Primary,156.22,2016,August
Insurance,Homeowner's/Renter's,Investment,41.39,2016,August
Insurance,Life,Primary,132.78,2016,August
Investment,Investment,Primary,160,2016,August
Job Expense,Non-Reimbursed,Primary,400,2016,August
Pet Care,Food,Primary,111.61,2016,August
Taxes,Real Estate Taxes,Primary,1364.95,2016,August
Taxes,Real Estate Taxes,Investment,1268.45,2016,August
Taxes,Taxes - Unassigned,Primary,0.52,2016,August
Travel/Vacation,Miscellaneous,Primary,238.54,2016,August
Travel/Vacation,Travel,Primary,39,2016,August
Automobile,Car Payment,Primary,1598.99,2016,September
Automobile,Gasoline,Primary,125.11,2016,September
Bank Charges,Service Charge,Primary,18.94,2016,September
Bills,Cell Phone,Primary,99.75,2016,September
Bills,Electricity,Primary,243.8,2016,September
Bills,Homeowner's Dues,Primary,42.58,2016,September
Bills,Homeowner's Dues,Investment,113.37,2016,September
Bills,Mortgage Payment,Primary,1436.12,2016,September
Bills,Mortgage Payment,Investment,1573.53,2016,September
Bills,Natural Gas/Oil,Primary,85,2016,September
Bills,Natural Gas/Oil,Investment,38.86,2016,September
Bills,Online/Internet Service,Primary,67.79,2016,September
Bills,Telephone,Primary,34.05,2016,September
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2016,September
Dining Out,Dining Out,Primary,143.95,2016,September
Gifts,Gifts,Primary,30,2016,September
Groceries,Groceries,Primary,702.36,2016,September
Healthcare,Physician,Primary,610,2016,September
Healthcare,Prescriptions,Primary,65.48,2016,September
Hobbies/Leisure,Sporting Goods,Primary,184.15,2016,September
Household,Yard Service,Primary,62.07,2016,September
Insurance,Automobile,Primary,275.83,2016,September
Insurance,Homeowner's/Renter's,Primary,83.16,2016,September
Insurance,Homeowner's/Renter's,Investment,41.39,2016,September
Insurance,Life,Primary,132.78,2016,September
Investment,Investment,Primary,160,2016,September
Job Expense,Non-Reimbursed,Primary,400,2016,September
Personal Care,Personal Care,Primary,26.73,2016,September
Pet Care,Food,Primary,67.97,2016,September
Taxes,Real Estate Taxes,Primary,681,2016,September
Taxes,Real Estate Taxes,Investment,648,2016,September
Taxes,Taxes - Unassigned,Primary,0.52,2016,September
Travel/Vacation,Lodging,Primary,418.86,2016,September
Travel/Vacation,Miscellaneous,Primary,106.25,2016,September
Travel/Vacation,Miscellaneous,Primary,399.27,2016,September
Automobile,Car Payment,Primary,621.68,2016,October
Automobile,Gasoline,Primary,215.15,2016,October
Bank Charges,Service Charge,Primary,27.69,2016,October
Bills,Cell Phone,Primary,84.75,2016,October
Bills,Electricity,Primary,261.36,2016,October
Bills,Homeowner's Dues,Primary,42.58,2016,October
Bills,Homeowner's Dues,Investment,22.59,2016,October
Bills,Mortgage Payment,Primary,1436.12,2016,October
Bills,Mortgage Payment,Investment,1573.53,2016,October
Bills,Natural Gas/Oil,Primary,95.17,2016,October
Bills,Online/Internet Service,Primary,73.43,2016,October
Bills,Telephone,Primary,34.05,2016,October
Bills,Water & Sewer,Primary,177.01,2016,October
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,1,2016,October
Dining Out,Dining Out,Primary,76.4,2016,October
Fees,Fees,Primary,55.41,2016,October
Groceries,Groceries,Primary,783.7,2016,October
Healthcare,Physician,Primary,535,2016,October
Healthcare,Prescriptions,Primary,44.95,2016,October
Hobbies/Leisure,Hobbies/Leisure - Unassigned,Primary,75,2016,October
Household,Yard Service,Primary,61.73,2016,October
Insurance,Automobile,Primary,275.83,2016,October
Insurance,Homeowner's/Renter's,Primary,83.16,2016,October
Insurance,Homeowner's/Renter's,Investment,41.39,2016,October
Insurance,Life,Primary,132.78,2016,October
Investment,Investment,Primary,160,2016,October
Job Expense,Non-Reimbursed,Primary,500,2016,October
Personal Care,Personal Care,Primary,19.95,2016,October
Pet Care,Food,Primary,61.87,2016,October
Taxes,Real Estate Taxes,Primary,25.87,2016,October
Taxes,Taxes - Unassigned,Primary,0.52,2016,October
Travel/Vacation,Miscellaneous,Primary,15.9,2016,October
Automobile,Car Payment,Primary,621.68,2016,November
Automobile,Gasoline,Primary,76.7,2016,November
Bank Charges,Service Charge,Primary,23.99,2016,November
Bills,Cell Phone,Primary,79.1,2016,November
Bills,Electricity,Primary,146.19,2016,November
Bills,Homeowner's Dues,Primary,42.58,2016,November
Bills,Homeowner's Dues,Investment,22.59,2016,November
Bills,Mortgage Payment,Primary,1436.12,2016,November
Bills,Mortgage Payment,Investment,1573.53,2016,November
Bills,Natural Gas/Oil,Primary,95.11,2016,November
Bills,Online/Internet Service,Primary,68.5,2016,November
Bills,Telephone,Primary,34.05,2016,November
Charitable Donations,Charitable Donations,Primary,10.25,2016,November
Clothing,Clothing,Primary,272.29,2016,November
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,-50,2016,November
Dining Out,Dining Out,Primary,85.22,2016,November
Fees,Fees,Primary,135.33,2016,November
Gifts,Gifts,Primary,33.86,2016,November
Groceries,Groceries,Primary,746.9,2016,November
Healthcare,Physician,Primary,-200,2016,November
Home Improvement,Home Improvement,Investment,34.68,2016,November
Insurance,Automobile,Primary,275.83,2016,November
Insurance,Homeowner's/Renter's,Primary,83.16,2016,November
Insurance,Homeowner's/Renter's,Investment,41.39,2016,November
Insurance,Life,Primary,132.78,2016,November
Investment,Investment,Primary,160,2016,November
Job Expense,Non-Reimbursed,Primary,400,2016,November
Personal Care,Personal Care,Primary,70.8,2016,November
Pet Care,Food,Primary,10.65,2016,November
Taxes,Taxes - Unassigned,Primary,0.52,2016,November
Automobile,Car Payment,Primary,932.52,2016,December
Automobile,Gasoline,Primary,223.72,2016,December
Bank Charges,Service Charge,Primary,34.19,2016,December
Bills,Cell Phone,Primary,79.1,2016,December
Bills,Electricity,Primary,111.81,2016,December
Bills,Homeowner's Dues,Primary,42.58,2016,December
Bills,Homeowner's Dues,Investment,113.37,2016,December
Bills,Membership Fees,Primary,177.41,2016,December
Bills,Mortgage Payment,Primary,2154.18,2016,December
Bills,Mortgage Payment,Investment,1573.53,2016,December
Bills,Natural Gas/Oil,Primary,85,2016,December
Bills,Online/Internet Service,Primary,73.44,2016,December
Bills,Telephone,Primary,34.05,2016,December
Childcare,Childcare,Primary,33.84,2016,December
Clothing,Clothing,Primary,29.36,2016,December
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2016,December
Dining Out,Dining Out,Primary,142.43,2016,December
Groceries,Groceries,Primary,658.06,2016,December
Healthcare,Prescriptions,Primary,11.63,2016,December
Household,Furnishings,Primary,215.04,2016,December
Insurance,Automobile,Primary,275.83,2016,December
Insurance,Homeowner's/Renter's,Primary,83.16,2016,December
Insurance,Homeowner's/Renter's,Investment,41.39,2016,December
Insurance,Life,Primary,132.78,2016,December
Investment,Investment,Primary,240,2016,December
Job Expense,Non-Reimbursed,Primary,400,2016,December
Personal Care,Personal Care,Primary,2544.95,2016,December
Pet Care,Food,Primary,51.38,2016,December
Pet Care,Pet Care - Unassigned,Primary,74.94,2016,December
Taxes,Taxes - Unassigned,Primary,0.52,2016,December
Automobile,Car Payment,Primary,621.68,2017,January
Automobile,Gasoline,Primary,168.32,2017,January
Bank Charges,Service Charge,Primary,31.44,2017,January
Bills,Business,Primary,61.33,2017,January
Bills,Cell Phone,Primary,79.1,2017,January
Bills,Electricity,Primary,143.37,2017,January
Bills,Homeowner's Dues,Primary,42.58,2017,January
Bills,Homeowner's Dues,Investment,22.59,2017,January
Bills,Mortgage Payment,Primary,1436.12,2017,January
Bills,Mortgage Payment,Investment,1573.53,2017,January
Bills,Natural Gas/Oil,Primary,85,2017,January
Bills,Online/Internet Service,Primary,73.44,2017,January
Bills,Telephone,Primary,34.05,2017,January
Bills,Water & Sewer,Primary,122.17,2017,January
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,-1,2017,January
Dining Out,Dining Out,Primary,54.86,2017,January
Entertainment,Entertainment,Primary,6.1,2017,January
Fees,Fees,Primary,80,2017,January
Groceries,Groceries,Primary,687.87,2017,January
Healthcare,Prescriptions,Primary,6.31,2017,January
Hobbies/Leisure,Toys & Games,Primary,375.85,2017,January
Household,Furnishings,Primary,248.58,2017,January
Insurance,Automobile,Primary,275.83,2017,January
Insurance,Homeowner's/Renter's,Primary,83.16,2017,January
Insurance,Homeowner's/Renter's,Investment,41.39,2017,January
Insurance,Life,Primary,132.78,2017,January
Investment,Investment,Primary,160,2017,January
Job Expense,Non-Reimbursed,Primary,400,2017,January
Personal Care,Personal Care,Primary,19.95,2017,January
Pet Care,Food,Primary,36.24,2017,January
Safety Deposit Box,Safety Deposit Box,Primary,90.4,2017,January
Taxes,Taxes - Unassigned,Primary,0.52,2017,January
Travel/Vacation,Miscellaneous,Primary,-126.19,2017,January
Automobile,Car Payment,Primary,621.68,2017,February
Automobile,Gasoline,Primary,162.03,2017,February
Bank Charges,Service Charge,Primary,32.69,2017,February
Bills,Cell Phone,Primary,79.1,2017,February
Bills,Electricity,Primary,135.76,2017,February
Bills,Homeowner's Dues,Primary,42.58,2017,February
Bills,Homeowner's Dues,Investment,22.59,2017,February
Bills,Mortgage Payment,Primary,1436.12,2017,February
Bills,Mortgage Payment,Investment,1573.53,2017,February
Bills,Natural Gas/Oil,Primary,53,2017,February
Bills,Online/Internet Service,Primary,73.44,2017,February
Bills,Telephone,Primary,34.05,2017,February
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2017,February
Dining Out,Dining Out,Primary,81.13,2017,February
Gifts,Gifts,Primary,33.86,2017,February
Groceries,Groceries,Primary,536.07,2017,February
Healthcare,Prescriptions,Primary,11.63,2017,February
Household,Household - Unassigned,Primary,39.47,2017,February
Insurance,Automobile,Primary,275.83,2017,February
Insurance,Homeowner's/Renter's,Investment,41.39,2017,February
Insurance,Life,Primary,132.78,2017,February
Investment,Investment,Primary,160,2017,February
Job Expense,Non-Reimbursed,Primary,400,2017,February
Personal Care,Personal Care,Primary,19.95,2017,February
Pet Care,Food,Primary,57.66,2017,February
Taxes,Real Estate Taxes,Primary,666,2017,February
Taxes,Real Estate Taxes,Investment,666,2017,February
Taxes,Taxes - Unassigned,Primary,0.52,2017,February
Travel/Vacation,Lodging,Primary,2853.51,2017,February
Travel/Vacation,Miscellaneous,Primary,132.09,2017,February
